epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
54,1028.32,0.96329,0.59283,0.86689,0.60297,0.29894,0.28825,0.22973,0.9968,1.53744,0.95635,0.00020984,0.00020984,0.00020984
55,1046.59,0.93244,0.54889,0.84022,0.60297,0.29894,0.28825,0.22973,0.9968,1.53744,0.95635,0.000209346,0.000209346,0.000209346
56,1075.3,0.90099,0.5284,0.86309,0.60297,0.29894,0.28825,0.22973,0.9968,1.53744,0.95635,0.000208687,0.000208687,0.000208687
57,1093.46,0.93709,0.72421,0.86768,0.59788,0.30952,0.29181,0.21583,1.01189,1.36775,0.96162,0.000207863,0.000207863,0.000207863
58,1111.99,0.89794,0.55344,0.84159,0.59788,0.30952,0.29181,0.21583,1.01189,1.36775,0.96162,0.000206875,0.000206875,0.000206875
59,1132.43,0.82387,0.52696,0.8447,0.59788,0.30952,0.29181,0.21583,1.01189,1.36775,0.96162,0.000205721,0.000205721,0.000205721
60,1153.11,0.87663,0.54798,0.87152,0.61541,0.28748,0.29696,0.22114,1.01118,1.24573,0.96037,0.000204402,0.000204402,0.000204402
61,1172.78,0.82228,0.50577,0.84078,0.61541,0.28748,0.29696,0.22114,1.01118,1.24573,0.96037,0.000202919,0.000202919,0.000202919
62,1192.76,0.81923,0.51235,0.87079,0.61541,0.28748,0.29696,0.22114,1.01118,1.24573,0.96037,0.00020127,0.00020127,0.00020127
63,1212.73,0.96,0.54161,0.8639,0.6273,0.29365,0.3055,0.24812,0.9725,1.18966,0.95293,0.000199457,0.000199457,0.000199457
64,1233.36,0.93078,0.52304,0.84665,0.6273,0.29365,0.3055,0.24812,0.9725,1.18966,0.95293,0.000197478,0.000197478,0.000197478
65,1253.67,0.8469,0.51305,0.83679,0.6273,0.29365,0.3055,0.24812,0.9725,1.18966,0.95293,0.000195335,0.000195335,0.000195335
66,1274.4,0.80662,0.49706,0.86484,0.6309,0.29365,0.30943,0.2529,0.95071,1.20724,0.94798,0.000193027,0.000193027,0.000193027
67,1296.96,0.7954,0.48207,0.86021,0.6309,0.29365,0.30943,0.2529,0.95071,1.20724,0.94798,0.000190554,0.000190554,0.000190554
68,1316.47,0.93796,0.5498,0.86405,0.6309,0.29365,0.30943,0.2529,0.95071,1.20724,0.94798,0.000187916,0.000187916,0.000187916
69,1335.73,0.8073,0.48345,0.84164,0.63036,0.29894,0.31029,0.23801,0.95401,1.20792,0.95127,0.000185113,0.000185113,0.000185113
70,1354.47,0.84984,0.54814,0.8248,0.63036,0.29894,0.31029,0.23801,0.95401,1.20792,0.95127,0.000182145,0.000182145,0.000182145
71,1374.31,0.78325,0.47318,0.84362,0.63036,0.29894,0.31029,0.23801,0.95401,1.20792,0.95127,0.000179012,0.000179012,0.000179012
72,1394.43,0.78915,0.49672,0.84175,0.63394,0.29072,0.32479,0.24938,0.96792,1.16623,0.95642,0.000175714,0.000175714,0.000175714
73,1415.12,0.79465,0.48646,0.85979,0.63394,0.29072,0.32479,0.24938,0.96792,1.16623,0.95642,0.000172251,0.000172251,0.000172251
74,1435.41,0.79847,0.48809,0.8377,0.63394,0.29072,0.32479,0.24938,0.96792,1.16623,0.95642,0.000168623,0.000168623,0.000168623
75,1456.17,0.89857,0.53625,0.86565,0.63596,0.28042,0.32145,0.23834,0.98807,1.11225,0.9636,0.000164831,0.000164831,0.000164831
76,1475.07,0.90768,0.52275,0.84219,0.63596,0.28042,0.32145,0.23834,0.98807,1.11225,0.9636,0.000160873,0.000160873,0.000160873
77,1494.99,0.76764,0.43019,0.83576,0.63596,0.28042,0.32145,0.23834,0.98807,1.11225,0.9636,0.000156751,0.000156751,0.000156751
78,1515.69,0.82092,0.46706,0.83545,0.63791,0.27249,0.31917,0.23637,1.00031,1.06168,0.96863,0.000152463,0.000152463,0.000152463
79,1534.55,0.78134,0.46243,0.84664,0.63791,0.27249,0.31917,0.23637,1.00031,1.06168,0.96863,0.000148011,0.000148011,0.000148011
80,1554.81,0.79373,0.48149,0.84174,0.63791,0.27249,0.31917,0.23637,1.00031,1.06168,0.96863,0.000143393,0.000143393,0.000143393
